"ENSEMBL","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000272482.2","lncRNA*103",98.0856283706524,-2.33678160835853,0.469412747242121,-4.9780957634566,6.42128858851344e-07,0.000569794931516031
"ENSG00000072274.14","TFRC",3305.05935835912,0.465363780228456,0.093753799822527,4.9636791373723,6.91701823988868e-07,0.000579684556381782
"ENSG00000100918.14","REC8",944.303151085931,-1.469605763798,0.297963471666048,-4.9321675424869,8.13221160054039e-07,0.000626752970847864
"ENSG00000241468.8","ATP5MF",451.147843501229,0.623992903023324,0.12662317953002,4.92795162259678,8.30961844014404e-07,0.000626752970847864
"ENSG00000196611.6","MMP1",432.305986538175,-1.45865654635681,0.299501377174488,-4.87028326920514,1.11438373664622e-06,0.000764289074033562
"ENSG00000182782.8","HCAR2",1802.59168812979,-1.05058331500948,0.215714999681463,-4.87023765876655,1.11464100952856e-06,0.000764289074033562
"ENSG00000179593.16","ALOX15B",603.554157155872,-1.32880083880432,0.274206043968423,-4.84599398165469,1.25979334981597e-06,0.000826260116607563
"ENSG00000123933.17","MXD4",3190.69175823066,-0.488934762878357,0.101106858138768,-4.83582194006367,1.32596578022847e-06,0.000832510395749216
"ENSG00000198467.16","TPM2",814.039960849599,-0.833966877016949,0.172738514218992,-4.82791507607664,1.37969903173553e-06,0.000832510395749216
"ENSG00000109819.9","PPARGC1A",1454.98229236706,-0.729499872669761,0.151368459286452,-4.81936511812706,1.44015779299092e-06,0.000835568473356465
"ENSG00000258689.2","LINC01269",237.476025165954,0.810222818909468,0.168558931848928,4.806762893085,1.53393733265198e-06,0.00085701646900204
"ENSG00000136235.17","GPNMB",9866.54986675304,0.741222249129026,0.155043938993721,4.78072379958718,1.74665194986383e-06,0.000926363098423023
"ENSG00000096060.15","FKBP5",5789.78112236364,-1.173832852975,0.245735128826249,-4.77682152560688,1.78087702050167e-06,0.000926363098423023
"ENSG00000179094.16","PER1",1381.48963866688,-0.896596227859082,0.188673311856674,-4.75210944799751,2.01305348416619e-06,0.00100084234568119
"ENSG00000115129.14","TP53I3",2777.99181189059,-1.00296647366662,0.211250167338865,-4.74776652866631,2.05675258310355e-06,0.00100084234568119
"ENSG00000164120.14","HPGD",961.56916606165,-0.523571526095342,0.110596390929486,-4.73407424686364,2.20057167495327e-06,0.00103736324114594
"ENSG00000196220.17","SRGAP3",2147.55381727442,-0.501607110548889,0.106266332953635,-4.72028248841279,2.35517334187186e-06,0.00104764743855627
"ENSG00000230937.13","MIR205HG",2771.44075229605,0.680307672099246,0.144264186803307,4.7157072532963,2.40872560382428e-06,0.00104764743855627
"ENSG00000137936.18","BCAR3",898.84676230762,-0.550105515038441,0.11669971046935,-4.71385501151624,2.43073651637185e-06,0.00104764743855627
"ENSG00000177156.11","TALDO1",6476.00789856291,0.344486984658152,0.0736229182225251,4.67907267159584,2.88175297744932e-06,0.00120753454624508
"ENSG00000138061.12","CYP1B1",2929.70208438194,-0.747142013124593,0.160677752261259,-4.64994065830442,3.32030548742779e-06,0.00135369752102292
"ENSG00000118777.12","ABCG2",36.320478241704,1.96974149171582,0.427399076674736,4.60867044225006,4.05252086856389e-06,0.00160874413953385
"ENSG00000091136.15","LAMB1",2422.01309045598,-0.528072689017061,0.115355277886128,-4.57779391367203,4.69905291868168e-06,0.0018175695712388
"ENSG00000101445.10","PPP1R16B",1348.09754515938,-0.842478392211146,0.185038298460215,-4.55299470013385,5.2887606022584e-06,0.00198255979758509
"ENSG00000065833.9","ME1",941.438766665625,0.764418771977057,0.168038631216988,4.54906569067421,5.38846216115272e-06,0.00198255979758509
"ENSG00000157514.18","TSC22D3",2650.82867702564,-0.697207633467092,0.15376066816854,-4.53436917107352,5.7775900002236e-06,0.00207511774174698
"ENSG00000135069.14","PSAT1",970.898093877098,1.6128236893312,0.358358353009104,4.50058907735362,6.77653986816678e-06,0.00237730474212316
"ENSG00000173267.14","SNCG",251.993865325624,-0.771040473330886,0.171805217830028,-4.48787576459813,7.19368560809043e-06,0.00246628971359191
"ENSG00000173599.15","PC",687.583519393738,-0.544323827918144,0.121607214714893,-4.47608169625713,7.60254032840015e-06,0.00254854046342036
"ENSG00000100234.12","TIMP3",1885.9789847275,-0.616126846113307,0.138089361100142,-4.46179807919087,8.12747920665719e-06,0.00266528312679182
"ENSG00000143878.10","RHOB",1320.31583200679,-0.632568303748946,0.142112219937533,-4.45118867347931,8.53962699314496e-06,0.00274085687641685
"ENSG00000291110.1","TRIM16L",119.915289982356,0.929630357685608,0.210722957499721,4.41162353032578,1.02598391716096e-05,0.00322436820632772
